slug	version	fichier	sha512	role	type
data-anchor	2.0.0.16-fabric	Data_Anchor-fabric-1.21.1-2.0.0.16.jar	676cb6fc45deeeaeae529c8ddfd24e1e6c7ae619902a7545b7b40d0bd52afe41cf4d22352b06cd6bb23836b38adb7791d6960fbb6309dc501d5439d72729bd83	lib	release
fabric-api	0.116.17+1.21.1	fabric-api-0.116.17+1.21.1.jar	98c478217da19181f0e4df3ea6c2da6bdbda271c7544a4aea048513a49b444f1ff5b71dc0df6303017c48e8ff69b7bb6af6179bdf0d0e09ab3c1ee08411857a8	lib	release
fabric-language-kotlin	1.14.1+kotlin.2.4.20	fabric-language-kotlin-1.14.1+kotlin.2.4.20.jar	91404f87774466ce8604aafea791d8cc97b603bc310dce17c8188f94f7783cca6dc14fc726ce871ca317bfe9033c199d8d858d51284106a00754e952147703b8	lib	release
forge-config-api-port	v21.1.6-1.21.1-Fabric	ForgeConfigAPIPort-v21.1.6-1.21.1-Fabric.jar	cd9296e78ba969f7aed6e3692aa25eb61c102c79c55ca5f9592576bacaa26feab5d5d48fa30cf07ca852e0f1d42afc4d4558feff69a67b225183d2bc15898cf9	lib	release
fragmentum	2.4.4	fragmentum-fabric-1.21.1-2.4.4.jar	cafe008625422bc07ee05efcf75ea5fc8a820cec9d1d04d0789434ea597b03058627be13cd70b3c3384b05a9ba271c17ead10840f4d93f2b8c11d6e43b2cb269	lib	release
fzzy-config	0.7.6+1.21	fzzy_config-0.7.6+1.21.jar	84f4176e371e65c838e7b78a7defdf18cad1fe5ad47dabe2a3fc5a940d900296d8af7a0320fb0c15040e38bf9be98d046f38a93d392a6ecaed71926de5158ddf	lib	release
geckolib	4.9.2	geckolib-fabric-1.21.1-4.9.2.jar	2442ebe35e84ab9dc564f059d4003b6a9d2a3f304f02427e8710ad35b3547637f292b2aced021f765c4cbac7c4e9b5043fe9cb84ac85912151cf6d0e9c09696d	lib	release
jamlib	1.3.6+1.21.1	jamlib-fabric-1.3.6+1.21.1.jar	9faeb50d37b39a3484a7147912f046d6ce5e648a0f50df5a90c98154e008560be3af56ad8f92ca1205b2bafa14833c549c34b36971b62f01d5f9907e30cc7fc0	lib	release
kiwi	15.8.8+fabric	Kiwi-1.21.1-Fabric-15.8.8.jar	ef44c9a97d49e0fd857ca1a8ec9f4d188dbfb7f77bd5b12a380e391c5de2c4d3af3e7758879d5bddb8b3594c610c09dc6f0636d754bf61679f33ed85258ee180	lib	release
lithostitched	1.8.0+beta6-fabric-21.1	lithostitched-1.8.0+beta6-fabric-21.1.jar	d97159cf35429aee8fe53d910157d6a2c5cb1b93390702d727e5ef80ff033b198d5da698030137a25d1ea2fd8db0ca4c67e39cde8b7a9f99eba850d92ebc164a	lib	release
moogs-structure-lib	3.1.2	MoogsStructureLib-fabric-1.21.1-3.1.2.jar	6e0ac4da3ce5fca850794d66a49baa725bbb40a7772e19693b9e6787b9e3aa1480481e15ab8eba94668dff01edf4c953f40e0b30a03f790291fe46302c6ac2c2	lib	release
moonlight	1.21.1-3.6.4	moonlight-1.21.1-3.6.4-fabric.jar	efb83cdb25dd15126882dd22b7cc5bfc8449c2f35311af6da740a9e3ca1f64f8f11fb033babe1cb49a029844ac13f6a30c20e62c100934d00452a94ec57c3975	lib	release
owo-lib	0.12.15.4+1.21	owo-lib-0.12.15.4+1.21.jar	b9c79035c912ef043722f2a1f0bc0166e0ca047ea5237a86f23198dea487289e0a0f92a96e46bd683ffc39e4190b95450d13456b14f6280587635b51c9393a1b	lib	release
polymer	0.9.19+1.21.1	polymer-bundled-0.9.19+1.21.1.jar	6a804059be62ed312f6f3c8ef31fbda5889d2a0d088891966bf5a9ae18756198617b7fede322f596b1c98c0068638e28d9b6099037e00eca32a864f3441354cf	lib	release
puzzles-lib	21.1.60	PuzzlesLib-v21.1.60-mc1.21.1-Fabric.jar	ff2b670f8ed11f2ba1f8ae165e49b2376c6b447b9eb6d58029cd9caf6f28598c84235baf23123c2f9693a4c7b175fff08398bd672e6801835129885ba2f1c224	lib	release
resourceful-config	3.0.11	resourcefulconfig-fabric-1.21-3.0.11.jar	11189c68626404bef5021bae51bcec1840dba0c3356ca275e9b3439e20ba474fb9ba6f6bf4b4f08b3e9a43c58ac553e2e0d182429bd606948d8211bd49c1d0e7	lib	release
resourceful-lib	3.0.12	resourcefullib-fabric-1.21-3.0.12.jar	df8a9586eaa0e2f8e1e6a5651ba79ff6c95327b0ab89cdab4708cc6ed51c3da6829d00e8f176e7e7b7b37d4af8c5bd9e3df047f3a8a04fd1af925d80c774185b	lib	release
yacl	3.8.2+1.21.1-fabric	yet_another_config_lib_v3-3.8.2+1.21.1-fabric.jar	353169f85fa63e73ce9bdd0d4ddce54e3cbc4d71153a93c982f74c68fd93325986663f94fc2f2b10f4427e8b15a0485c608c5587b3840d933204b50ea4cb6d4c	lib	release
yungs-api	1.21.1-Fabric-5.1.8	YungsApi-1.21.1-Fabric-5.1.8.jar	7583d0f09197791faee281b30ec3370850d72f4006fef2e63c8478298220ef252a12ce999e7bc893f881ed108897f6cafd28d3742215cadba99c3b94eef3863a	lib	release
kambrik	8.0.0-beta.2	kambrik-fabric-8.0.0-beta.2.jar	54060f83fff566d23d13e5a449076ffbe3230bbc3357170bb17c10de7a63be1fd98f5632e84ddac40eb402bb162d1b4e2762a91ae193d93d60df156dbb6e645c	lib	beta
