slug	version	fichier	sha512	role	type
structory	1.3.17	Structory_26.2_v1.3.7.jar	4178a15f32f6ed3d59a7eb2222a8e3f539efd7b54d8ffb790cbf1dfe5c54c6ce6ec33220e148424109c6360c4c6f081b9fbebfe74745fe3c8f05619a06ccb9ec	candidat	release
structory-towers	1.0.17	Structory_Towers_26.2_v1.0.17.jar	74b1f29439e2946ef9b3f9d8d7915bc112239d5009587c7817c4f45bee7e7a48906ffcddab67f0078fe82e996093657ab874a5a0498ccc045dda4bd562bc7702	candidat	release
subtle-effects	1.14.3	SubtleEffects-fabric-1.21.1-1.14.3.jar	eea0d0041648b23fb722473b01a2cc605e3cec4634da5f066928c0f9cb7b9aa817224b48e37cf31d739d24cc73360bc580e4efad7abb19909d559d4ab56575de	candidat	release
supplementaries	1.21.1-3.9.9	supplementaries-1.21.1-3.9.9-fabric.jar	f5071c78bdd2e1a809c467f80fa05712b9929107128b13a58073dc085e0e1b63e63164aaa19672d8bc6bf5bac00657e33d8e19f68da9f5a23d5015008b3793d7	candidat	release
tectonic	3.0.28-fabric-21.1	tectonic-3.0.28-fabric-21.1.jar	a15a85fb5c6d134d0967fa3ccd6797fa28348b69937b65b2a3bcd6173609e84ae97bd8400eb01013167ceca3434bf97216e879d4b0277c007f6deda7aa076afd	candidat	release
terralith	2.6.2	Terralith_1.21.x_v2.6.2.jar	1dcd6d8576b5a664ca39aa530964c3439275c9ec1f83e4a43a35eb1eea125158f18d3a1d1b453db869f3f353555dfe69abc0460221c66f50613b5b30079ac54a	candidat	release
textile_backup	3.1.3-1.21	textile_backup-3.1.3-1.21.jar	76e9581dcf92108e32b1e492bc30a85c19fc383b4823ebbf55d4d8c5659d25305638371a8331ef93822e26954c0d05808224b816a80dea9b7034efd70213f292	candidat	release
tidal-towns	1.3.4+mod	tidal-towns-1.3.4.jar	f40954849ed782fe262505c859bfee749eab57a2963d10d5e0b95b5eb1b1835729a98e76e7995f6ecfeba60141448203d3e0f36b1ae9f69db75aceff7175b607	candidat	release
tide	2.1.1	tide-fabric-1.21.1-2.1.1.jar	762cdeaa9dab0d0b7f97c87a05ecc52ad126936999ae9b2d9db213f4410342496838039ad345c8808120598d356b8c212b51dc364a66cd4825bc236384bfa150	candidat	release
toms-storage	1.21-2.4.2-fabric	toms_storage_fabric-1.21-2.4.2.jar	e38b9b2a2568404da98ce468f93ccca8bc1a5a3c4e57d11c7ebfcf42b1ee9883318a9c7cfc728688ff49383d61149852b4220613a7e8c408309de68a45adccde	candidat	release
towns-and-towers	1.13.11	t_and_t-fabric-neoforge-1.13.11.jar	7464b1556250ceee25b4b531e07f65568c98a9d26f97232c1f6016be63ff243891de8283e072981deb968ea7d8b83bdc1579ee842b6b792446f4c26a43af4b62	candidat	release
